,vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_CNG,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,transmission_type_Automatic,transmission_type_Manual
48,7,110000,22.32,1582,126.3,5,520000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
49,5,70000,22.54,1396,88.73,5,750000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
50,4,70000,26.59,1248,74.0,5,560000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
51,2,39000,18.6,1197,81.83,5,655000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
52,14,56000,17.8,1086,63.0,5,125000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
53,3,34000,18.6,1197,81.83,5,550000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
54,4,50000,15.4,1997,120.0,7,1150000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
55,9,77400,20.54,1598,103.6,5,500000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
56,2,36000,17.3,1497,121.0,7,990000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
57,8,47876,25.0,1493,113.42,5,551000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
58,3,21500,15.1,2179,152.87,7,1650000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
59,6,75000,24.0,1120,70.0,5,350000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
60,4,58000,18.16,1196,86.8,5,500000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
61,3,30000,21.21,1197,81.8,5,575000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
62,3,50000,24.0,1186,73.97,5,545000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
63,4,19093,18.16,1196,86.8,5,525000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
64,7,50000,18.0,1198,86.7,5,400000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
65,15,37000,14.0,1061,64.0,5,155000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
66,5,47000,26.59,1248,74.0,5,545000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
67,8,70000,16.8,1497,116.3,5,545000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
68,5,25000,25.17,799,53.3,5,240000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
69,3,26000,24.3,1248,88.5,5,725000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
70,4,30000,18.16,1196,86.8,5,480000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
71,8,15000,18.5,1197,82.9,5,375000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
72,10,160000,17.8,1248,75.0,5,225000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
73,4,32100,23.84,1199,84.0,5,400000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
74,5,22000,18.5,1197,82.9,5,550000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
75,5,44000,15.4,2179,120.0,7,1050000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
76,5,78000,18.78,1198,74.0,5,450000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
77,9,74352,11.74,1796,186.0,5,775000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
78,7,37000,20.51,998,67.04,5,350000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
79,7,69000,25.1,1498,98.6,5,550000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
80,2,12120,16.8,1497,113.4,5,1080000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
81,5,52000,21.01,1197,81.8,5,575000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
82,5,120000,12.99,2494,100.6,8,950000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
83,8,55000,22.74,796,47.3,5,230000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
84,10,160000,21.9,1396,90.0,5,270000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
85,10,40000,15.6,1196,70.0,5,130000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
86,9,46000,19.1,1197,85.8,5,370000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
87,4,25000,21.4,1197,83.1,5,570000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
88,8,90000,22.07,1199,73.9,5,365000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
89,9,49566,18.5,1197,82.85,5,280000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
90,3,14000,22.0,1582,126.2,5,1250000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
91,5,11000,18.6,1197,81.83,5,590000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
92,3,5000,23.1,998,67.04,5,475000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
93,4,55000,23.0,1498,98.96,5,685000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
94,9,65000,19.08,1582,126.32,5,380000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
95,3,22000,23.01,999,67.0,5,330000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
96,3,7671,21.01,1197,81.8,5,650000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
97,5,66000,20.51,998,67.04,5,325000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
98,3,45156,21.21,1197,81.8,5,640000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
99,2,25000,18.27,998,118.35,5,949000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
100,6,120000,23.9,1582,126.2,5,660000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
101,7,28000,16.1,1197,85.0,5,435000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
102,8,55000,21.9,1396,88.76,5,385000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
103,2,14000,22.0,1582,126.2,5,1250000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
104,12,98780,18.9,998,67.1,5,155000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
105,6,58000,25.2,1248,74.0,5,415000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
106,10,30000,20.92,998,67.1,5,251000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
107,5,46400,15.4,2179,120.0,7,1150000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
108,7,32111,19.81,1086,68.05,5,310000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
109,6,35000,19.44,1198,67.0,7,350000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
110,4,30000,15.4,1997,120.0,7,1125000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
111,5,63000,18.59,2993,261.49,5,2600000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
112,3,10000,20.62,1198,67.0,7,480000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
113,4,25000,28.4,1248,74.02,5,850000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
114,4,102000,17.01,1582,126.2,5,1100000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
115,3,35000,22.0,1197,81.8,5,575000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
116,9,49948,17.5,1298,85.8,5,340000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
117,3,55000,23.0,1498,98.96,5,925000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
118,6,36000,18.9,1197,82.0,5,400000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
119,5,49625,17.8,1497,117.3,5,725000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
120,7,35000,23.4,1248,74.0,5,600000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
121,8,95000,12.05,2179,120.0,8,550000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
122,4,36000,25.83,1498,99.0,5,585000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
123,2,50000,21.79,998,67.05,5,411000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
124,6,26500,20.85,1197,83.14,5,450000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
125,6,80000,13.7,1997,153.86,5,1290000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
126,6,46000,16.47,1198,74.0,5,455000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
127,2,9000,20.7,1197,81.86,5,710000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
128,5,53000,16.8,1497,116.3,5,770000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
129,3,11387,10.91,3198,197.0,7,2900000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
130,3,50000,25.8,1498,98.6,5,720000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
131,5,52000,25.32,1198,77.0,5,375000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
132,6,35000,19.44,1198,67.0,7,400000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
133,6,48000,19.87,1461,83.8,5,600000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
134,3,18000,18.7,1199,88.7,5,600000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
135,9,57413,14.4,998,61.7,5,270000,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
136,6,30000,18.6,1197,81.83,5,500000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
137,6,55000,23.9,1582,126.2,5,650000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
138,3,10000,21.21,1197,81.8,5,660000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
139,5,68000,22.69,1995,190.0,5,2090000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
140,1,8000,16.8,1497,113.4,5,1275000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
141,6,65000,28.4,1248,74.0,5,495000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
142,5,25000,18.9,1197,82.0,5,475000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
143,6,70000,20.73,1373,91.1,5,530000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
144,5,9500,23.84,1199,84.0,5,530000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
145,6,9100,17.01,1591,121.3,5,650000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
146,11,86000,17.0,1497,118.0,5,335000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
147,8,78000,16.55,1968,147.51,5,1290000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
148,10,60000,20.0,1399,68.0,5,300000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
149,2,7883,21.5,1197,81.8,5,550000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
150,8,50205,23.4,1248,74.0,5,390000,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
151,13,220000,13.6,2523,63.0,7,260000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
152,4,58000,24.7,1047,69.0,5,395000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
153,9,170000,12.05,2179,120.0,8,550000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
154,3,15000,22.0,1197,81.8,5,650000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
155,5,71245,28.4,1248,74.0,5,375000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
156,2,7000,16.1,1353,138.0,5,1300000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
157,3,20000,23.95,998,67.05,5,360000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
158,1,8700,21.63,998,67.04,5,505000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
159,2,25000,24.7,796,47.3,5,310000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
160,6,42000,18.6,1197,81.86,5,545000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
161,15,120000,13.6,2523,63.0,7,150000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
162,3,50000,21.4,1197,83.1,5,580000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
163,10,58000,18.9,998,67.1,5,250000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
164,4,36000,17.43,1396,105.5,5,650000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
165,3,30000,25.47,1248,88.5,7,410000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
166,6,162828,22.77,1498,98.59,5,531000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
167,3,7500,23.0,1498,98.96,5,890000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
168,5,47227,14.0,2179,138.1,7,775000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
169,3,52000,33.54,998,67.04,5,435000,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
170,9,74000,20.0,1399,68.05,5,185000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
171,10,47000,15.96,2523,62.1,7,440000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
172,6,50000,18.6,1197,81.83,5,450000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
173,4,100000,21.4,1197,83.1,5,600000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
174,7,35000,23.1,998,67.04,5,320000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
175,5,50000,21.19,1396,88.73,5,700000,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
176,3,10000,18.16,1196,86.8,5,630000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
177,5,10370,22.74,796,47.3,5,320000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
178,8,62000,16.8,1497,116.3,5,465000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
179,5,40000,18.6,1197,81.83,5,550000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
180,4,60000,22.0,1197,81.8,5,445000,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
181,8,67231,14.0,2179,138.1,7,705000,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
